winner,loser,method
Yushin Okami,Mike Swick,"Decision (unanimous) (29–28, 29–28, 30–27)"
Kendall Grove,Alan Belcher,Technical Submission (D'Arce choke)
Heath Herring,Brad Imes,"Decision (unanimous) (30–27, 30–27, 30–27)"
Thales Leites,Pete Sell,"Decision (unanimous) (30–27, 30–27, 30–27)"
Marcus Davis,Pete Spratt,Submission (ankle lock)
Luke Cummo,Josh Haynes,TKO (punch)
Randy Couture,Tim Sylvia(c),"Unanimous decision (50–45, 50–45, 50–45)"
Matt Serra,Georges St-Pierre(c),TKO (punches)
Quinton Jackson,Chuck Liddell(c),TKO (punches)
Anderson Silva(c),Nate Marquardt,TKO (punches)
Sean Sherk(c),Hermes Franca,"Decision (unanimous) (50–45, 50–45, 49–46)"
Randy Couture(c),Gabriel Gonzaga,TKO (punches)
Quinton Jackson(UFC Champion),Dan Henderson(Pride Champion),"Decision (unanimous) (48–47, 49–46, 49–46)"
Anderson Silva(c),Rich Franklin,TKO (knees)
Georges St-Pierre,Matt Hughes,Verbal submission (armbar)
Randy Couture,Tim Sylvia(c),"Decision (unanimous) (50–45, 50–45, 50–45)"
Martin Kampmann,Drew McFedries,Submission (arm-triangle choke)
Rich Franklin,Jason MacDonald,TKO (corner stoppage)
Matt Hughes,Chris Lytle,"Decision (unanimous) (30-27, 30-27, 30-27)"
Jason Lambert,Renato Sobral,KO (punch)
Matt Hamill,Rex Holman,TKO (punches)
Jon Fitch,Luigi Fioravanti,Submission (rear-naked choke)
Gleison Tibau,Jason Dent,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jamie Varner,Jason Gilliam,Technical Submission (rear-naked choke)
Anderson Silva(c),Travis Lutter,Submission (triangle choke with elbows)[10]
Mirko Cro Cop,Eddie Sanchez,TKO (punches)
Quinton Jackson,Marvin Eastman,KO (punches)
Roger Huerta,John Halverson,TKO (punches)
Patrick Côté,Scott Smith,"Decision (unanimous) (30–27, 30–27, 30–27)"
Terry Martin,Jorge Rivera,KO (punches)
Frankie Edgar,Tyson Griffin,"Decision (unanimous) (29–28, 29–28, 30–27)"
Lyoto Machida,Sam Hoger,"Decision (unanimous) (30–27, 30–27, 30–27)"
Dustin Hazelett,Diego Saraiva,"Decision (unanimous) (30–27, 30–27, 30–27)"
Rashad Evans,Sean Salmon,KO (head kick)
Jake O'Brien,Heath Herring,"Decision (unanimous) (29–28, 30–27, 30–27)"
Hermes França,Spencer Fisher,TKO (punches)
Nate Marquardt,Dean Lister,"Decision (unanimous) (30–27, 30–25, 30–25)"
Josh Burkman,Chad Reiner,"Decision (unanimous) (29–28, 29–28, 30–27)"
Ed Herman,Chris Price,Submission (armbar)
Din Thomas,Clay Guida,"Decision (unanimous) (29–28, 29–28, 29–28)"
Rich Clementi,Ross Pointon,Submission (rear-naked choke)
Chuck Liddell(c),Tito Ortiz,TKO (punches)
Keith Jardine,Forrest Griffin,TKO (punches)
Jason MacDonald,Chris Leben,Submission (guillotine choke)
Andrei Arlovski,Márcio Cruz,KO (punches)
Michael Bisping,Eric Schafer,TKO (punches)
Thiago Alves,Tony DeSouza,KO (knee)
Gabriel Gonzaga,Carmelo Marrero,Submission (armbar)
Yushin Okami,Rory Singer,Submission (punches)
Christian Wellisch,Anthony Perosh,"Decision (unanimous) (29–28, 29–27, 29–28)"
Diego Sanchez,Joe Riggs,KO (knee and punches)
Josh Koscheck,Jeff Joslin,"Decision (unanimous) (30–27, 30–27, 30–27)"
Karo Parisyan,Drew Fickett,"Decision (unanimous) (30–27, 30–27, 30–27)"
Marcus Davis,Shonie Carter,"Decision (unanimous) (30–26, 29–28, 30–27)"
Alan Belcher,Jorge Santiago,KO (head kick)
Luigi Fioravanti,Dave Menne,TKO (punches)
David Heath,Victor Valimaki,"Decision (split) (29–28, 28–29, 29–28)"
Brock Larson,Keita Nakamura,"Decision (unanimous) (29–28, 29–28, 29–28)"
Logan Clark,Steve Byrnes,"Decision (unanimous) (30–27, 30–27, 29–28)"
Georges St-Pierre,Matt Hughes(c),TKO (head kick and punches)
Tim Sylvia(c),Jeff Monson,"Decision (unanimous) (50–45, 49–46, 49–46)"
Drew McFedries,Alessio Sakara,TKO (punches)
Brandon Vera,Frank Mir,TKO (punches)
Joe Stevenson,Dokonjonosuke Mishima,Submission (guillotine choke)
Nick Diaz,Gleison Tibau,TKO (punches)
Antoni Hardonk,Sherman Pendergarst,KO (leg kick)
James Irvin,Hector Ramirez,TKO (punch and elbows)
Jake O'Brien,Josh Schockman,"Decision (unanimous) (30–27, 30–27, 30–27)"
Matt Serra,Chris Lytle,"Decision (split) (30–27, 27–30, 30–27)"
Travis Lutter,Patrick Côté,Submission (armbar)
Din Thomas,Rich Clementi,Submission (rear-naked choke)
Jorge Rivera,Edwin Dewees,TKO (punches)
Pete Spratt,Jeremy Jackson,TKO (neck injury)
Scott Smith,Pete Sell,KO (punch)
Charles McCarthy,Gideon Ray,Submission (armbar)
Martin Kampmann,Thales Leites,"Decision (unanimous) (29–28, 29–27, 29–27)"
Anderson Silva,Rich Franklin(c),KO (knee)
Sean Sherk,Kenny Florian,"Decision (unanimous) (49–46, 49–46, 50–45)"
Jon Fitch,Kuniyoshi Hironaka,"Decision (unanimous) (30–25, 30–27, 30–27)"
Carmelo Marrero,Cheick Kongo,"Decision (split) (29–28, 28–29, 29–28)"
Spencer Fisher,Dan Lauzon,TKO (punches)
Yushin Okami,Kalib Starnes,TKO (punches)
Clay Guida,Justin James,Submission (rear-naked choke)
Kurt Pellegrino,Júnior Assunção,Submission (rear-naked choke)
Tito Ortiz,Ken Shamrock,TKO (punches)
Kendall Grove,Chris Price,Submission (elbows)
Jason MacDonald,Ed Herman,Submission (triangle choke)
Matt Hamill,Seth Petruzelli,"Decision (unanimous) (29–28, 30–27, 29–28)"
Nate Marquardt,Crafton Wallace,Submission (rear-naked choke)
Tony DeSouza,Dustin Hazelett,Submission (kimura)
Rory Singer,Josh Haynes,"Decision (unanimous) (29–28, 29–28, 29–28)"
Thiago Alves,John Alessio,"Decision (unanimous) (30–27, 30–27, 30–27)"
Marcus Davis,Forrest Petz,Submission (guillotine choke)
Matt Hughes(c),B.J. Penn,TKO (punches)
Mike Swick,David Loiseau,"Decision (unanimous) (29–28, 29–28, 29–28)"
Melvin Guillard,Gabe Ruediger,TKO (punch to the body)
Rashad Evans,Jason Lambert,KO (punches)
Joe Lauzon,Jens Pulver,TKO (punch)
Roger Huerta,Jason Dent,"Decision (unanimous) (30–27, 30–27, 30–27)"
Eddie Sanchez,Mario Neto,KO (punches)
Jorge Gurgel,Danny Abbadi,"Decision (split) (28–29, 29–28, 29–28)"
Tyson Griffin,David Lee,Submission (rear-naked choke)
Chuck Liddell(c),Renato Sobral,TKO (punches)
Forrest Griffin,Stephan Bonnar,"Decision (unanimous) (30–27, 30–27, 30–27)"
Nick Diaz,Josh Neer,Submission (kimura)
Cheick Kongo,Christian Wellisch,KO (knee)
Hermes França,Jamie Varner,Submission (armbar)
Eric Schafer,Rob MacDonald,Technical Submission (arm-triangle choke)
Wilson Gouveia,Wes Combs,Submission (rear-naked choke)
David Heath,Cory Walmsley,Submission (rear-naked choke)
Yushin Okami,Alan Belcher,"Decision (unanimous) (29–28, 30–27, 30–27)"
Diego Sanchez,Karo Parisyan,"Decision (unanimous) (29–28, 29–28, 30–26)"
Chris Leben,Jorge Santiago,KO (punch)
Dean Lister,Yuki Sasaki,"Decision (unanimous) (30–27, 30–27, 30–27)"
Josh Koscheck,Jonathan Goulet,Submission (punches)
Martin Kampmann,Crafton Wallace,Submission (rear-naked choke)
Joe Riggs,Jason Von Flue,Submission (triangle choke)
Jake O'Brien,Kristof Midoux,TKO (punches)
Forrest Petz,Sam Morgan,"Decision (unanimous) (30–27, 30–26, 30–23)"
Anthony Torres,Pat Healy,Submission (rear-naked choke)
Tim Sylvia(c),Andrei Arlovski,"Decision (unanimous) (48–47, 49–46, 48–47)"
Josh Burkman,Josh Neer,"Decision (unanimous) (29–28, 30–27, 29–28)"
Tito Ortiz,Ken Shamrock,TKO (elbows)
Frank Mir,Dan Christison,"Decision (unanimous) (29–28, 29–28, 29–28)"
Joe Stevenson,Yves Edwards,TKO (doctor stoppage)
Hermes França,Joe Jordan,Submission (triangle choke)
Jeff Monson,Anthony Perosh,TKO (punches)
Cheick Kongo,Gilbert Aldana,TKO (doctor stoppage)
Drew Fickett,Kurt Pellegrino,Submission (rear-naked choke)
Jonathan Goulet,Luke Cummo,"Decision (Majority) (30-27, 30-27, 29-29)"
Anderson Silva,Chris Leben,KO (Knee)
Rob MacDonald,Kristian Rothaermel,Submission (Armbar)
Rashad Evans,Stephan Bonnar,"Decision (Majority) (30-27, 29-28, 28-28)"
Mark Hominick,Jorge Gurgel,"Decision (Unanimous) (29-28, 29-28, 29-28)"
Josh Koscheck,Dave Menne,Decision (Unanimous)
Jason Lambert,Branden Lee Hinkle,TKO (Punches)
Jon Fitch,Thiago Alves,TKO (Upkick and Punches)
Jorge Santiago,Justin Levens,KO (Knee)
Kenny Florian,Sam Stout,Submission (rear naked choke)
Michael Bisping,Josh Haynes,TKO (punches)
Kendall Grove,Ed Herman,Decision (unanimous)
Keith Jardine,Wilson Gouveia,Decision (unanimous)
Rory Singer,Ross Pointon,Submission (triangle choke)
Kalib Starnes,Danny Abbadi,Submission (rear naked choke)
Luigi Fioravanti,Solomon Hutcherson,KO (punch)
Matt Hamill,Jesse Forbes,TKO (punches)
Mike Nickels,Wes Combs,Submission (rear naked choke)
Matt Hughes,Royce Gracie,TKO (punches)
Dean Lister,Alessio Sakara,Submission (triangle choke)
Diego Sanchez,John Alessio,"Decision (unanimous) (30–27, 29–28, 29–28)"
Brandon Vera,Assuerio Silva,Submission (guillotine choke)
Mike Swick,Joe Riggs,Submission (guillotine choke)
Jeremy Horn,Chael Sonnen,Submission (armbar)
Spencer Fisher,Matt Wiman,KO (flying knee)
Gabriel Gonzaga,Fabiano Scherner,TKO (punches)
Melvin Guillard,Rick Davis,KO (punch)
Tim Sylvia,Andrei Arlovski(c),TKO (punches)
Sean Sherk,Nick Diaz,"Decision (unanimous) (30–27, 30–27, 30–27)"
Tito Ortiz,Forrest Griffin,"Decision (split) (30–27, 28–29, 29–27)"
Evan Tanner,Justin Levens,Submission (triangle choke)
Jeff Monson,Marcio Cruz,"Decision (split) (30–27, 29–28, 28–29)"
Karo Parisyan,Nick Thompson,TKO (punches)
David Terrell,Scott Smith,Submission (rear-naked choke)
Jason Lambert,Terry Martin,TKO (punches)
Thiago Alves,Derrick Noble,TKO (punches)
Stephan Bonnar,Keith Jardine,"Decision (unanimous) (29–28, 29–28, 29–28)"
Rashad Evans,Sam Hoger,"Decision (split) (28–29, 30–27, 29–28)"
Josh Neer,Joe Stevenson,"Decision (unanimous) (29–28, 29–28, 29–28)"
Chris Leben,Luigi Fioravanti,"Decision (unanimous) (30–27, 30–27, 30–27)"
Luke Cummo,Jason Von Flue,"Decision (unanimous) (30–27, 30–26, 30–27)"
Jon Fitch,Josh Burkman,Submission (rear-naked choke)
Dan Christison,Brad Imes,Submission (armbar)
Josh Koscheck,Ansar Chalangov,Submission (rear-naked choke)
Chael Sonnen,Trevor Prangley,"Decision (unanimous) (30–27, 30–27, 30–27)"
Rich Franklin(c),David Loiseau,"Decision (unanimous) (50–43, 50–42, 50–42)"
Mike Swick,Steve Vigneault,Submission (guillotine choke)
Georges St-Pierre,B.J. Penn,"Decision (split) (29–28, 28–29, 29–28)"
Nate Marquardt,Joe Doerksen,"Decision (unanimous) (30–27, 30–27, 30–27)"
Mark Hominick,Yves Edwards,Submission (triangle armbar)
Sam Stout,Spencer Fisher,"Decision (split) (29–28, 29–28, 28–29)"
Jason Lambert,Rob MacDonald,Submission (kimura)
Tom Murphy,Icho Larenas,TKO (punches)
Chuck Liddell(c),Randy Couture,KO (punch)
Brandon Vera,Justin Eilers,KO (head kick and knee)
Marcio Cruz,Frank Mir,TKO (punches and elbows)
Renato Sobral,Mike Van Arsdale,Submission (rear-naked choke)
Joe Riggs,Nick Diaz,"Decision (unanimous) (29–28, 29–28, 30–27)"
Alessio Sakara,Elvis Sinosic,"Decision (unanimous) (29–25, 29–26, 29–26)"
Paul Buentello,Gilbert Aldana,TKO (punches)
Jeff Monson,Branden Lee Hinkle,Technical Submission (north-south choke)
Keith Jardine,Mike Whitehead,"Decision (unanimous) (29–28, 29–28, 29–28)"
Tim Sylvia,Assuerio Silva,"Decision (unanimous) (30–27, 30–27, 29–28)"
Stephan Bonnar,James Irvin,Submission (kimura)
Josh Burkman,Drew Fickett,Submission (guillotine choke)
Chris Leben,Jorge Rivera,TKO (punches)
Josh Neer,Melvin Guillard,Submission (triangle choke)
Duane Ludwig,Jonathan Goulet,KO (punch)
Spencer Fisher,Aaron Riley,TKO (doctor stoppage)
Jason Von Flue,Alex Karalexis,Technical Submission (Von Flue choke)
Rich Franklin(c),Nate Quarry,KO (punch)
Gabriel Gonzaga,Kevin Jordan,KO (superman punch)
Matt Hughes(c),Joe Riggs,Submission (kimura)
Georges St-Pierre,Sean Sherk,TKO (punches and elbows)
Jeremy Horn,Trevor Prangley,"Decision (unanimous) (29–28, 29–28, 29–28)"
Sam Hoger,Jeff Newton,Submission (rear-naked choke)
Thiago Alves,Ansar Chalangov,TKO (punches)
Nick Thompson,Keith Wisniewski,"Decision (unanimous) (30–27, 30–27, 30–27)"
Diego Sanchez,Nick Diaz,"Decision (unanimous) (30–27, 30–27, 30–27)"
Rashad Evans,Brad Imes,"Decision (split) (29–28, 29–28, 28–29)"
Joe Stevenson,Luke Cummo,"Decision (unanimous) (29–28, 30–27, 29–28)"
Kenny Florian,Kit Cope,Submission (rear-naked choke)
Josh Burkman,Sam Morgan,KO (slam)
Melvin Guillard,Marcus Davis,TKO (doctor stoppage)
Keith Jardine,Kerry Schall,TKO (leg kicks)
Andrei Arlovski(c),Paul Buentello,KO (punch)
Branden Lee Hinkle,Sean Gannon,TKO (punches)
Forrest Griffin,Elvis Sinosic,TKO (punches)
Renato Sobral,Chael Sonnen,Submission (triangle choke)
Joe Riggs,Chris Lytle,TKO (cut)
Jorge Rivera,Dennis Hallman,"Decision (unanimous) (30–27, 30–27, 30–27)"
Marcio Cruz,Keigo Kunihara,Submission (rear-naked choke)
Alessio Sakara,Ron Faircloth,No Contest (groin kick)
David Loiseau,Evan Tanner,TKO (doctor stoppage)
Chris Leben,Edwin Dewees,Submission (armbar)
Brandon Vera,Fabiano Scherner,TKO (knees)
Drew Fickett,Josh Koscheck,Technical Submission (rear-naked choke)
Spencer Fisher,Thiago Alves,Submission (triangle choke)
Jon Fitch,Brock Larson,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jonathan Goulet,Jay Hieron,TKO (doctor stoppage)
Chuck Liddell(c),Jeremy Horn,TKO (punches)
Tim Sylvia,Tra Telligman,KO (head kick)
Randy Couture,Mike Van Arsdale,Submission (anaconda choke)
Diego Sanchez,Brian Gassaway,TKO (Submission to punches)
Georges St-Pierre,Frank Trigg,Submission (rear-naked choke)
Matt Lindland,Joe Doerksen,Decision (unanimous)
Trevor Prangley,Travis Lutter,Decision (unanimous)
James Irvin,Terry Martin,KO (flying knee)
Andrei Arlovski,Tim Sylvia,Submission (Achilles Lock)
Evan Tanner,David Terrell,TKO (Punches)
Chuck Liddell,Randy Couture(c),KO (Punches)
Matt Hughes(c),Frank Trigg,Submission (Rear-Naked Choke)
Andrei Arlovski(ic),Justin Eilers,TKO (Punches)
Rich Franklin,Evan Tanner(c),TKO (Doctor Stoppage)
Chuck Liddell(c),Jeremy Horn,TKO (Punches)
Andrei Arlovski(c),Paul Buentello,KO (Punch)
Rich Franklin(c),Nate Quarry,KO (Punch)
Andrei Arlovski(ic),Justin Eilers,TKO (punches)
Karo Parisyan,Matt Serra,"Decision (unanimous) (30–27, 30–27, 29–28)"
Rich Franklin,Evan Tanner(c),TKO (doctor stoppage)
Forrest Griffin,Bill Mahood,Submission (rear-naked choke)
Paul Buentello,Kevin Jordan,Submission (guillotine choke)
Nate Quarry,Shonie Carter,TKO (punches)
David Loiseau,Charles McCarthy,TKO (spinning back kick)
Nick Diaz,Koji Oishi,KO (punches)
Chuck Liddell,Randy Couture(c),KO (punches)
Renato Sobral,Travis Wiuff,Submission (armbar)
Matt Hughes(c),Frank Trigg,Submission (rear-naked choke)
Matt Lindland,Travis Lutter,Submission (guillotine choke)
Georges St-Pierre,Jason Miller,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ivan Salaverry,Joe Riggs,Submission (triangle choke)
Joe Doerksen,Patrick Côté,Submission (rear-naked choke)
Mike van Arsdale,John Marsh,"Decision (unanimous) (29–28, 29–28, 29–28)"
Rich Franklin,Ken Shamrock,TKO (punches)
Forrest Griffin,Stephan Bonnar,Decision (unanimous)
Diego Sanchez,Kenny Florian,TKO (punches)
Sam Hoger,Bobby Southworth,Decision (unanimous)
Chris Leben,Jason Thacker,TKO (punches)
Josh Koscheck,Chris Sanford,KO (punch)
Nate Quarry,Lodune Sincaid,TKO (punches)
Mike Swick,Alex Schoenauer,KO (punch)
Alex Karalexis,Josh Rafferty,TKO (punches)
Tito Ortiz,Vitor Belfort,"Decision (split) (29–28, 28–29, 29–28)"
Pete Sell,Phil Baroni,Submission (guillotine choke)
Andrei Arlovski,Tim Sylvia,Submission (achilles lock)
Evan Tanner,David Terrell,TKO (punches)
Paul Buentello,Justin Eilers,KO (punch)
Mike Kyle,James Irvin,KO (punch)
David Loiseau,Gideon Ray,TKO (doctor stoppage)
Karo Parisyan,Chris Lytle,"Decision (unanimous) (30–27, 30–27, 30–27)"
Nick Diaz,Drew Fickett,TKO (punches)
Tito Ortiz,Patrick Côté,"Decision (unanimous) (30–27, 30–26, 30–26)"
Rich Franklin,Jorge Rivera,Submission (armbar)
Matt Hughes,Georges St-Pierre,Submission (armbar)
Frank Trigg,Renato Verissimo,TKO (elbows)
Evan Tanner,Robbie Lawler,Submission (triangle choke)
Ivan Salaverry,Tony Fryklund,Submission (body triangle)
Travis Lutter,Marvin Eastman,KO (punch)
Randy Couture,Vitor Belfort(c),TKO (doctor stoppage)
Joe Riggs,Joe Doerksen,TKO (Submission to elbows)
Chuck Liddell,Vernon White,KO (punch)
David Terrell,Matt Lindland,KO (punches)
Justin Eilers,Mike Kyle,KO (punch)
Chris Lytle,Ronald Jhun,Submission (guillotine choke)
Karo Parisyan,Nick Diaz,Decision (split)
Yves Edwards,Josh Thomson,KO (flying head kick and punches)
Ken Shamrock,Kimo Leopoldo,KO (knee)
Frank Trigg,Dennis Hallman,TKO (punches)
Frank Mir,Tim Sylvia,Technical Submission (armbar)
Matt Hughes,Renato Verissimo,Decision (unanimous)
Evan Tanner,Phil Baroni,Decision (unanimous)
Matt Serra,Ivan Menjivar,Decision (unanimous)
Trevor Prangley,Curtis Stout,Submission (neck crank)
Georges St-Pierre,Jay Hieron,TKO (punches)
Chuck Liddell,Tito Ortiz,KO (punches)
Chris Lytle,Tiki Ghosn,Submission (bulldog choke)
Yves Edwards,Hermes França,"Decision (split) (29–28, 29–28, 28–29)"
Andrei Arlovski,Wesley Correira,TKO (punches)
Nick Diaz,Robbie Lawler,KO (punch)
Mike Kyle,Wes Sims,KO (punch)
Jonathan Wiezorek,Wade Shipp,TKO (punches)
Genki Sudo,Mike Brown,Submission (triangle armbar)
Vitor Belfort,Randy Couture(c),TKO (doctor stoppage)
B.J. Penn,Matt Hughes(c),Submission (rear-naked choke)
Frank Mir,Wes Sims,KO (knee and punches)
Renato Verissimo,Carlos Newton,"Decision (unanimous) (30–27, 30–27, 30–27)"
Lee Murray,Jorge Rivera,Submission (triangle armbar)
Georges St-Pierre,Karo Parisyan,"Decision (unanimous) (29–28, 30–27, 30–27)"
Josh Thomson,Hermes França,"Decision (unanimous) (29–28, 29–28, 29–28)"
Matt Serra,Jeff Curran,"Decision (unanimous) (30–27, 30–27, 30–27)"
Matt Hughes(c),Frank Trigg,Submission (standing rear-naked choke)
Matt Lindland,Falaniko Vitale,TKO (Submission to punches)
Wesley Correira,Tank Abbott,TKO (doctor stoppage)
Evan Tanner,Phil Baroni,TKO (punches)
Robbie Lawler,Chris Lytle,"Decision (unanimous) (29–28, 29–28, 29–28)"
Pedro Rizzo,Ricco Rodriguez,"Decision (unanimous) (30–27, 29–28, 30–27)"
Keith Rockel,Chris Liguori,Submission (guillotine choke)
Yves Edwards,Nick Agallar,TKO (punches)
Randy Couture(ic),Tito Ortiz(c),Decision (unanimous)
Tim Sylvia(c),Gan McGee,TKO (punches)
Andrei Arlovski,Vladimir Matyushenko,KO (punch)
Jorge Rivera,David Loiseau,Decision (unanimous)
Rich Franklin,Edwin Dewees,TKO (punches and knees)
Karo Parisyan,Dave Strasser,Submission (kimura)
Josh Thomson,Gerald Strebendt,KO (punches)
Nick Diaz,Jeremy Jackson,Submission (armbar)
Hermes França,Caol Uno,KO (punch)
Randy Couture,Chuck Liddell,TKO (punches)
Kimo Leopoldo,Tank Abbott,Submission (arm-triangle choke)
Vitor Belfort,Marvin Eastman,TKO (knees and punches)
Vernon White,Ian Freeman,"Draw (split) (28–29, 30–27, 29–29)"
Frank Mir,Wes Sims,Disqualification (kick to head of downed opponent)
Pedro Rizzo,Tra Telligman,TKO (doctor stoppage)
Falaniko Vitale,Matt Lindland,KO (slam)
Yves Edwards,Eddie Ruiz,"Decision (unanimous) (30–27, 30–27, 30–27)"
Matt Hughes(c),Sean Sherk,"Decision (unanimous) (49–46, 48–47, 48–45)"
Pete Spratt,Robbie Lawler,TKO (knee injury)
Dave Strasser,Romie Aram,"Decision (unanimous) (30–27, 30–27, 30–27)"
Wesley Correira,Sean Alvarez,TKO (knees and punches)
Rich Franklin,Evan Tanner,TKO (punches)
Duane Ludwig,Genki Sudo,"Decision (unanimous) (29–28, 29–28, 29–28)"
Hermes França,Rich Crunkilton,"Decision (unanimous) (29–28, 29–28, 29–28)"
